2012-12-27 14:46:39.384326: Using model(s): Updated Model, Original model. Scores: {'Original model': 7.9219294263921505, 'Updated Model': 10.112598516986344}. Using mode: training. Using cutoff data: 
2012-12-27 14:54:22.840941: Using model(s): Updated Model, Original model. Scores: {'Original model': 7.1651443229493701, 'Updated Model': 8.0923350919520534}. Using mode: training. Using cutoff data: cutoff_time_list_my_cutoff.csv
2012-12-27 16:01:52.050860: Using model(s): Updated Model, Original model. Scores: {'Original model': 8.0923350919520534, 'Updated Model': 8.0923350919520534}. Using mode: training. Using cutoff data: cutoff_time_list_my_cutoff.csv
2012-12-27 17:09:16.004352: Using model(s): Avg gate time by airport model, Original model. Scores: {'Original model': 8.0923350919520534, 'Avg gate time by airport model': 8.0923350919520534}. Using mode: training. Using cutoff data: cutoff_time_list_my_cutoff.csv
2012-12-27 18:25:32.631010: Using model(s): Avg gate time by airport model, None. Scores: {'None': None, 'Avg gate time by airport model': 8.0923350919520534}. Using mode: training. Using cutoff data: cutoff_time_list_my_cutoff.csv
2012-12-27 22:01:00.839828: Using model(s): Original model, Original model. Scores: {'Original model': 7.1651443229493701}. Using mode: training. Using cutoff data: cutoff_time_list_my_cutoff.csv
2012-12-27 22:04:57.623461: Using model(s): Small improvment model, Original model. Scores: {'Original model': 7.1651443229493701, 'Small improvment model': 8.0923350919520534}. Using mode: training. Using cutoff data: cutoff_time_list_my_cutoff.csv
2012-12-27 22:16:47.898300: Using model(s): Small improvment model, Avg gate time by airport model. Scores: {'Small improvment model': 8.0923350919520534, 'Avg gate time by airport model': 8.1399924744049414}. Using mode: training. Using cutoff data: cutoff_time_list_my_cutoff.csv
2012-12-27 22:24:46.159342: Using model(s): Small improvment model, Avg gate time by airport model. Scores: {'Small improvment model': 9.0124348299907258, 'Avg gate time by airport model': 9.0670010466764719}. Using mode: training. Using cutoff data: 
2012-12-27 22:39:05.636842: Using model(s): Small improvment model, Avg gate time by airport model. Scores: {'Small improvment model': 10.72484361131783, 'Avg gate time by airport model': 10.768406099569711}. Using mode: training. Using cutoff data: 
2012-12-27 22:43:23.012903: Using model(s): Small improvment model, Avg gate time by airport model. Scores: {'Small improvment model': 8.0923350919520534, 'Avg gate time by airport model': 9.685114950890318}. Using mode: training. Using cutoff data: cutoff_time_list_my_cutoff.csv
2012-12-27 22:53:44.616689: Using model(s): Avg gate time by airport model, None. Scores: {'None': None, 'Avg gate time by airport model': 8.8667883638534271}. Using mode: training. Using cutoff data: cutoff_time_list_my_cutoff.csv
2012-12-27 22:58:30.499986: Using model(s): Avg gate time by airport model, Original model. Scores: {'Original model': 7.1651443229493701, 'Avg gate time by airport model': 8.8667883638534271}. Using mode: training. Using cutoff data: cutoff_time_list_my_cutoff.csv
2012-12-27 23:02:10.416537: Using model(s): Avg gate time by airport model, Small improvment model. Scores: {'Small improvment model': 8.0923350919520534, 'Avg gate time by airport model': 8.8667883638534271}. Using mode: training. Using cutoff data: cutoff_time_list_my_cutoff.csv
2012-12-27 23:07:01.928520: Using model(s): Avg gate time by airport model, Small improvment model. Scores: {'Small improvment model': 8.0923350919520534, 'Avg gate time by airport model': 9.685114950890318}. Using mode: training. Using cutoff data: cutoff_time_list_my_cutoff.csv
